Counter,Authors,Title,Publication,Year,Dates,Category,Subject,File,Volume,Pages,Address,Publisher,Editor,Citation,ReferredByURL,GoogleScholarURL
37,Baruch Awerbuch#Yi Du#Bilal Khan#Yuval Shavitt,Routing through teranode networks with topology aggregation,3rd IEEE Symposium on Computers and Communications Systems,1998,NULL,Conference,Computer networks,pdf/1.pdf,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
38,Zeki Bilgin#Bilal Khan,Balancing Power: Tradeoffs between Connection Lifetime and Control Traffic Overhead in MANETS,IEEE International Conference on Communications,2009,"June 21- 24, 2009",Conference,Wireless networks,pdf/48.pdf,NULL,883-887 ,"Leipzig, Germany",Association of Computing Machinery,NULL,0,None,"http://scholar.google.com/scholar?cluster=9318440852688240087&hl=en&as_sdt=0,33"
39,Ghassen Ben Brahim#Ala Al-Fuqaha#Mohsen Guizani#Bilal Khan,A Model for Cooperative Mobility and Budgeted QoS in MANETs with Heterogenous Autonomy Requirements,IEEE Globecom,2008,"Nov 30-Dec 4, 2008",Conference,Wireless networks,pdf/42.pdf,NULL,5-Jan,"New Orleans, LO",IEEE,NULL,0,"http://scholar.google.com/scholar?cites=12584210893281496481&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=12584210893281496481&hl=en&as_sdt=5,33&sciodt=0,33"
40,Bilal Khan#Kiran Bhutani,Designing scalable networks with multiple personalities,3rd International Conference on Mathematical Sciences,2008,NULL,Conference,Computer networks,pdf/41.pdf,NULL,NULL,"Dubai, UAE",NULL,NULL,0,NULL,NULL
41,Zeki Bilgin#Bilal Khan,Increasing Connection Lifetimes through Dynamic Distribution of Budgeted Power,IEEE International Wireless Communications and Mobile Computing Conference,2008,"August 6th - 8th, 2008",Conference,Wireless networks,pdf/40.pdf,NULL,NULL,"Crete Island, Greece",Association of Computing Machinery,NULL,0,"http://scholar.google.com/scholar?cites=931195732398983489&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=931195732398983489&hl=en&as_sdt=5,33&sciodt=0,33"
42,Mohsen Guizani#Ghassen Ben Brahim#Ala Al-Fuqaha#Bilal Khan,Surrendering Autonomy: Can Cooperative Mobility Help?,13th International European Conference on Parallel and Distributed Computing (Euro-Par),2007,"August 28-31, 2007",Conference,Wireless networks,pdf/35.pdf,NULL,901-910,"Rennes, France",Springer Berlin Heidelberg,NULL,0,None,"http://scholar.google.com/scholar?cluster=12035733980503126562&hl=en&as_sdt=0,33"
43,Bilal Khan#Ghassen Ben Brahim,Budgeting Power:Packet Duplication and Bit Error Rate Reduction in Wireless Ad-Hoc Networks,IEEE International Wireless Communications and Mobile Computing Conference,2006,"July 3-6, 2006",Conference,Wireless networks,pdf/29.pdf,NULL,293-298 ,"Vancouver, Canada",NULL,NULL,0,"http://scholar.google.com/scholar?cites=12659689238304712591&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=12659689238304712591&hl=en&as_sdt=5,33&sciodt=0,33"
44,Bilal Khan#Ghassen Ben Brahim#Ala Al-Fuqaha#Mohsen Guizani,Using Energy-Efficient Overlays to Reduce Packet Error Rates in Wireless Ad-Hoc Networks,IEEE Conference on Communications,2006,"June 11-15, 2006",Conference,Wireless networks,pdf/28.pdf,8,3717-3722,"Istanbul, Turkey",NULL,NULL,0,"http://scholar.google.com/scholar?cites=12936781678789150610&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=12936781678789150610&hl=en&as_sdt=5,33&sciodt=0,33"
45,Bilal Khan#Ghassen Ben Brahim#Ala Al-Fuqaha#Mohsen Guizani,Harnessing the Parity of Multiple Errors in End-to-End MAC Schemes,IEEE Globecom,2006,"Nov 27-Dec 1, 2006",Conference,Wireless networks,pdf/27.pdf,NULL,5-Jan,"San Fancisco, CA",IEEE,NULL,0,None,"http://scholar.google.com/scholar?q=related:oApnsMdthpkJ:scholar.google.com/&hl=en&as_sdt=0,33"
46,Bilal Khan#Ghassen Ben Brahim#Ala Al-Fuqaha#Mohsen Guizani,Minimizing Wireless Connection BER through the Dynamic Distribution of Budgeted Power,IEEE Globecom,2006,"Nov 27-Dec 1, 2006",Conference,Wireless networks,pdf/26.pdf,NULL,5-Jan,"San Francisco, CA",IEEE,NULL,0,"http://scholar.google.com/scholar?cites=13948880123066861922&as_sdt=5,33&sciodt=0,33&hl=en","http://scholar.google.com/scholar?cluster=13948880123066861922&hl=en&as_sdt=5,33&sciodt=0,33"
